14,11,9,5,0,19,16,21,17,2,2,7,264,6,26,1
12,14,8,1,16,4,5,16,22,4,0,7,255,13,21,1
11,17,9,2,32,20,6,32,21,4,6,8,221,14,19,1
19,11,8,18,31,2,7,32,3,5,3,6,271,11,32,1
22,10,8,11,22,21,11,36,5,4,5,7,258,14,34,1
19,12,7,2,99,63,2,29,15,2,4,6,241,21,26,1
14,15,13,15,48,41,9,12,23,3,4,7,275,15,27,1
16,12,15,2,9,24,14,24,7,2,2,10,258,20,26,1
21,14,13,5,0,0,4,10,10,3,2,6,264,12,25,1
17,11,12,1,5,39,12,17,19,3,3,4,272,16,33,1
14,7,11,4,43,17,4,31,15,3,2,8,257,16,36,1
16,18,9,4,28,7,8,22,9,3,2,5,251,14,34,1
14,17,12,1,16,39,28,25,7,4,7,7,275,9,28,1
15,13,6,4,21,57,3,21,17,1,4,6,246,11,20,1
14,16,12,0,10,9,6,27,10,3,2,8,263,20,21,1
21,14,6,0,40,6,6,24,18,4,4,8,284,14,37,1
16,10,5,3,5,85,4,19,24,4,2,7,250,22,37,1
16,17,8,0,4,12,6,20,37,4,1,3,264,14,21,1
16,15,7,8,2,14,16,51,10,3,3,7,259,20,33,1
11,17,8,13,29,45,11,16,13,4,6,10,254,13,31,1
16,15,7,7,2,6,12,36,15,4,4,9,274,19,26,1
14,7,6,0,46,18,4,27,14,3,5,4,249,13,26,1
23,12,7,2,12,39,13,23,11,3,2,7,258,20,35,1
12,13,11,4,30,57,9,21,18,3,3,6,268,15,25,1
12,15,3,2,20,32,9,12,38,2,3,5,295,20,23,1
15,13,10,1,23,61,3,27,23,3,2,5,277,13,26,1
15,10,11,9,31,54,4,28,12,3,1,8,279,18,35,1
17,11,9,4,10,33,14,20,29,3,6,6,268,12,28,1
15,14,10,1,24,38,13,25,25,4,4,7,287,18,27,1
11,11,13,2,73,66,6,26,8,3,3,6,270,17,26,1
8,16,11,9,3,18,9,17,18,4,6,6,257,9,21,1
17,7,15,16,95,10,10,22,16,4,4,8,275,11,26,1
22,21,15,2,9,4,7,18,14,4,2,8,290,14,24,1
12,9,11,7,31,46,2,22,14,2,7,11,248,8,15,1
17,12,6,1,19,68,4,29,6,3,5,4,267,13,23,1
18,17,4,3,4,27,0,16,16,3,7,5,277,13,29,1
18,12,10,3,21,70,6,33,26,2,6,9,226,15,17,1
